1	4Са	1	1	86.0	79.4	7500000	свободна
2	3А	1	2	86.2	81.8	7300000	свободна
2	2А	1	3	59.7	55.4	5700000	свободна
2	1А	1	4	41.2	36.7	3800000	свободна
2	3Са	1	5	64.8	60.4	6000000	свободна
3	3А	1	6	86.2	81.8	7300000	свободна
3	2А	1	7	60.1	55.4	5700000	свободна
3	1А	1	8	41.4	36.7	3800000	свободна
3	3Са	1	9	64.8	60.4	6000000	свободна
4	3А	1	10	86.2	81.8	7300000	свободна
4	2А	1	11	60.1	55.4	5700000	свободна
4	1А	1	12	41.4	36.7	3800000	свободна
4	3Са	1	13	64.8	60.4	6000000	свободна
5	3А	1	14	86.2	81.8	7300000	свободна
5	2А	1	15	60.1	55.4	5700000	свободна
5	1А	1	16	41.4	36.7	3800000	свободна
5	3Са	1	17	64.8	60.4	6000000	свободна
6	3А	1	18	86.2	81.8	7300000	свободна
6	2А	1	19	60.1	55.4	5700000	свободна
6	1А	1	20	41.4	36.7	3800000	свободна
6	3Са	1	21	64.8	60.4	6000000	свободна
7	3А	1	22	86.2	81.8	7300000	свободна
7	2А	1	23	60.1	55.4	5700000	свободна
7	1А	1	24	41.4	36.7	3800000	свободна
7	3Са	1	25	64.8	60.4	6000000	свободна
8	3А	1	26	86.2	81.8	7300000	свободна
8	2А	1	27	60.1	55.4	5700000	свободна
8	1А	1	28	41.4	36.7	3800000	свободна
8	3Са	1	29	64.8	60.4	6000000	свободна
9	3А	1	30	86.2	81.8	7300000	свободна
9	2А	1	31	60.1	55.4	5700000	свободна
9	1А	1	32	41.4	36.7	3800000	свободна
9	3Са	1	33	64.8	60.4	6000000	свободна
10	3А	1	34	86.2	81.8	7300000	свободна
10	2А	1	35	60.1	55.4	5700000	свободна
10	1А	1	36	41.4	36.7	3800000	свободна
10	3Са	1	37	64.8	60.4	6000000	свободна
11	3А	1	38	86.2	81.8	7300000	свободна
11	2А	1	39	60.1	55.4	5700000	свободна
11	1А	1	40	41.4	36.7	3800000	свободна
11	3Са	1	41	64.8	60.4	6000000	свободна
12	3А	1	42	86.2	81.8	7300000	свободна
12	2А	1	43	60.1	55.4	5700000	свободна
12	1А	1	44	41.4	36.7	3800000	свободна
12	3Са	1	45	64.8	60.4	6000000	свободна
13	3А	1	46	86.2	81.8	7300000	свободна
13	2А	1	47	60.1	55.4	5700000	свободна
13	1А	1	48	41.4	36.7	3800000	свободна
13	3Са	1	49	64.8	60.4	6000000	свободна
1	2Г	2	50	69.7	65.3	6500000	свободна
1	4Сб	2	51	86.5	79.9	7500000	свободна
2	2Б	2	52	64.5	60.1	5900000	свободна
2	1А	2	53	41.2	36.7	3800000	свободна
2	1А	2	54	41.2	36.7	3800000	свободна
2	3Сб	2	55	65.3	60.9	6050000	свободна
3	2Б	2	56	64.5	60.1	5900000	свободна
3	1А	2	57	41.4	36.7	3800000	свободна
3	1А	2	58	41.4	36.7	3800000	свободна
3	3Сб	2	59	65.3	60.9	6050000	свободна
4	2Б	2	60	64.5	60.1	5900000	свободна
4	1А	2	61	41.4	36.7	3800000	свободна
4	1А	2	62	41.4	36.7	3800000	свободна
4	3Сб	2	63	65.3	60.9	6050000	свободна
5	2Б	2	64	64.5	60.1	5900000	свободна
5	1А	2	65	41.4	36.7	3800000	свободна
5	1А	2	66	41.4	36.7	3800000	свободна
5	3Сб	2	67	65.3	60.9	6050000	свободна
6	2Б	2	68	64.5	60.1	5900000	свободна
6	1А	2	69	41.4	36.7	3800000	свободна
6	1А	2	70	41.4	36.7	3800000	свободна
6	3Сб	2	71	65.3	60.9	6050000	свободна
7	2Б	2	72	64.5	60.1	5900000	свободна
7	1А	2	73	41.4	36.7	3800000	свободна
7	1А	2	74	41.4	36.7	3800000	свободна
7	3Сб	2	75	65.3	60.9	6050000	свободна
8	2Б	2	76	64.5	60.1	5900000	свободна
8	1А	2	77	41.4	36.7	3800000	свободна
8	1А	2	78	41.4	36.7	3800000	свободна
8	3Сб	2	79	65.3	60.9	6050000	свободна
9	2Б	2	80	64.5	60.1	5900000	свободна
9	1А	2	81	41.4	36.7	3800000	свободна
9	1А	2	82	41.4	36.7	3800000	свободна
9	3Сб	2	83	65.3	60.9	6050000	свободна
10	2Б	2	84	64.5	60.1	5900000	свободна
10	1А	2	85	41.4	36.7	3800000	свободна
10	1А	2	86	41.4	36.7	3800000	свободна
10	3Сб	2	87	65.3	60.9	6050000	свободна
11	2Б	2	88	64.5	60.1	5900000	свободна
11	1А	2	89	41.4	36.7	3800000	свободна
11	1А	2	90	41.4	36.7	3800000	свободна
11	3Сб	2	91	65.3	60.9	6050000	свободна
12	2Б	2	92	64.5	60.1	5900000	свободна
12	1А	2	93	41.4	36.7	3800000	свободна
12	1А	2	94	41.4	36.7	3800000	свободна
12	3Сб	2	95	65.3	60.9	6050000	свободна
13	2Б	2	96	64.5	60.1	5900000	свободна
13	1А	2	97	41.4	36.7	3800000	свободна
13	1А	2	98	41.4	36.7	3800000	свободна
13	3Сб	2	99	65.3	60.9	6050000	свободна
1	2В	3	100	65.2	60.8	6000000	свободна
1	1А	3	101	41.4	36.7	3800000	свободна
1	4А	3	102	105.2	100.8	9500000	свободна
2	2В	3	103	65.2	60.8	6000000	свободна
2	1А	3	104	41.2	36.7	3800000	свободна
2	2А	3	105	59.7	55.4	5700000	свободна
2	3А	3	106	86.2	81.8	7300000	свободна
3	2В	3	107	65.2	60.8	6000000	свободна
3	1А	3	108	41.4	36.7	3800000	свободна
3	2А	3	109	60.1	55.4	5700000	свободна
3	3А	3	110	86.2	81.8	7300000	свободна
4	2В	3	111	65.2	60.8	6000000	свободна
4	1А	3	112	41.4	36.7	3800000	свободна
4	2А	3	113	60.1	55.4	5700000	свободна
4	3А	3	114	86.2	81.8	7300000	свободна
5	2В	3	115	65.2	60.8	6000000	свободна
5	1А	3	116	41.4	36.7	3800000	свободна
5	2А	3	117	60.1	55.4	5700000	свободна
5	3А	3	118	86.2	81.8	7300000	свободна
6	2В	3	119	65.2	60.8	6000000	свободна
6	1А	3	120	41.4	36.7	3800000	свободна
6	2А	3	121	60.1	55.4	5700000	свободна
6	3А	3	122	86.2	81.8	7300000	свободна
7	2В	3	123	65.2	60.8	6000000	свободна
7	1А	3	124	41.4	36.7	3800000	свободна
7	2А	3	125	60.1	55.4	5700000	свободна
7	3А	3	126	86.2	81.8	7300000	свободна
8	2В	3	127	65.2	60.8	6000000	свободна
8	1А	3	128	41.4	36.7	3800000	свободна
