2	1	1	1	18,75	18.75	8450000	204	2	1	18,81
2	1	1	2	20,41	20.41	9200000	205	2	1	20,40
2	2	1	3	34,34	34.34	15500000	206	2	1	34,40
2	1	1	4	18,92	18.92	8550000	207	2	1	18,93
2	1	1	5	18,93	18.93	8550000	208	2	1	18,93
2	1	1	6	18,93	18.93	8550000	209	2	1	18,93
2	1	1	7	19	19.00	8550000	210	2	1	18,93
2	2	1	8	31,74	31.74	14300000	211	2	1	18,70
2	2	1	9	30,71	30.71	13850000	212	2	1	31,74
2	1	1	10	21,72	21.72	9800000	213	2	1	30,72
2	1	1	11	19,38	19.38	8750000	214	2	1	21,72
2	1	1	12	19,39	19.39	8750000	215	2	1	19,39
2	1	1	13	19,38	19.38	8750000	216	2	1	19,39
2	1	1	14	19,41	19.41	8750000	217	2	1	19,39
2	1	1	15	18,75	18.75	8450000	218	2	1	19,39
2	1	1	16	20,41	20.41	9200000	219	2	1	19,41
2	2	1	17	34,34	34.34	15500000	304	3	1	18,75
3	1	1	18	18,92	18.92	8550000	305	3	1	20,41
3	1	1	19	18,93	18.93	8550000	306	3	1	34,34
3	1	1	20	18,93	18.93	8550000	307	3	1	18,92
3	1	1	21	19	19.00	8550000	308	3	1	18,93
3	2	1	22	31,74	31.74	14300000	309	3	1	18,93
3	2	1	23	30,71	30.71	13850000	310	3	1	18,92
3	1	1	24	21,72	21.72	9800000	311	3	1	18,64
3	1	1	25	19,38	19.38	8750000	312	3	1	31,74
3	1	1	26	19,39	19.39	8750000	313	3	1	30,72
3	1	1	27	19,38	19.38	8750000	314	3	1	21,72
3	1	1	28	19,41	19.41	8750000	315	3	1	19,38
3	1	1	29	18,75	18.75	8450000	316	3	1	19,38
3	1	1	30	20,41	20.41	9200000	317	3	1	19,38
3	2	1	31	34,34	34.34	15500000	318	3	1	19,38
4	1	1	32	18,92	18.92	8550000	319	3	1	19,41
4	1	1	33	18,93	18.93	8550000	404	4	1	18,75
4	1	1	34	18,93	18.93	8550000	405	4	1	20,41
4	1	1	35	19	19.00	8550000	406	4	1	34,34
4	2	1	36	31,74	31.74	14300000	407	4	1	18,92
4	2	1	37	30,71	30.71	13850000	408	4	1	18,93
4	1	1	38	21,72	21.72	9800000	409	4	1	18,93
4	1	1	39	19,38	19.38	8750000	410	4	1	18,92
4	1	1	40	19,39	19.39	8750000	411	4	1	18,64
4	1	1	41	19,38	19.38	8750000	412	4	1	31,74
4	1	1	42	19,41	19.41	8750000	413	4	1	30,72
4	1	1	43	18,75	18.75	8450000	414	4	1	21,72
4	1	1	44	20,41	20.41	9200000	415	4	1	19,38
4	2	1	45	34,34	34.34	15500000	416	4	1	19,38
5	1	1	46	18,92	18.92	8550000	417	4	1	19,38
5	1	1	47	18,93	18.93	8550000	418	4	1	19,38
5	1	1	48	18,93	18.93	8550000	419	4	1	19,41
5	1	1	49	19	19.00	8550000	504	5	1	18,75
5	2	1	50	31,74	31.74	14300000	505	5	1	20,41
5	2	1	51	30,71	30.71	13850000	506	5	1	34,34
5	1	1	52	21,72	21.72	9800000	507	5	1	18,92
5	1	1	53	19,38	19.38	8750000	508	5	1	18,93
5	1	1	54	19,39	19.39	8750000	509	5	1	18,93
5	1	1	55	19,38	19.38	8750000	510	5	1	18,92
5	1	1	56	19,41	19.41	8750000	511	5	1	18,64
5	1	1	57	18,75	18.75	8450000	512	5	1	31,74
5	1	1	58	20,41	20.41	9200000	513	5	1	30,72
5	2	1	59	34,34	34.34	15500000	514	5	1	21,72
6	1	1	60	18,92	18.92	8550000	515	5	1	19,38
6	1	1	61	18,93	18.93	8550000	516	5	1	19,38
6	1	1	62	18,93	18.93	8550000	517	5	1	19,38
6	1	1	63	19	19.00	8550000	518	5	1	19,38
6	2	1	64	31,74	31.74	14300000	519	5	1	19,41
6	2	1	65	30,71	30.71	13850000	604	6	1	18,75
6	1	1	66	21,72	21.72	9800000	605	6	1	20,41
6	1	1	67	19,38	19.38	8750000	606	6	1	34,34
6	1	1	68	19,39	19.39	8750000	607	6	1	18,92
6	1	1	69	19,38	19.38	8750000	608	6	1	18,93
6	1	1	70	19,41	19.41	8750000	609	6	1	18,93
6	1	1	71	18,75	18.75	8450000	610	6	1	18,92
6	1	1	72	20,41	20.41	9200000	611	6	1	18,64
6	2	1	73	34,34	34.34	15500000	612	6	1	31,74
6	1	1	74	18,92	18.92	8550000	613	6	1	30,72
6	1	1	75	18,93	18.93	8550000	614	6	1	21,72
6	1	1	76	18,93	18.93	8550000	615	6	1	19,38
6	1	1	77	19	19.00	8550000	616	6	1	19,38
6	2	1	78	31,74	31.74	14300000	617	6	1	19,38
6	2	1	79	30,71	30.71	13850000	618	6	1	19,38
6	1	1	80	21,72	21.72	9800000	619	6	1	19,41
