1	4Са	1	1	86.4	79.9	8400000	свободна
2	3А	1	2	86.2	81.8	8240000	свободна
2	2А	1	3	59.7	55.4	6150000	свободна
2	1А	1	4	41.2	36.7	4550000	свободна
2	3Са	1	5	65.3	60.9	6500000	свободна
3	3А	1	6	86.2	81.8	8240000	свободна
3	2А	1	7	60.1	55.4	6150000	свободна
3	1А	1	8	41.4	36.7	4550000	свободна
3	3Са	1	9	65.3	60.9	6500000	свободна
4	3А	1	10	86.2	81.8	8240000	свободна
4	2А	1	11	60.1	55.4	6150000	свободна
4	1А	1	12	41.4	36.7	4550000	свободна
4	3Са	1	13	65.3	60.9	6500000	свободна
5	3А	1	14	86.2	81.8	8240000	свободна
5	2А	1	15	60.1	55.4	6150000	свободна
5	1А	1	16	41.4	36.7	4550000	свободна
5	3Са	1	17	65.3	60.9	6500000	свободна
6	3А	1	18	86.2	81.8	8240000	свободна
6	2А	1	19	60.1	55.4	6150000	свободна
6	1А	1	20	41.4	36.7	4550000	свободна
6	3Са	1	21	65.3	60.9	6500000	свободна
7	3А	1	22	86.2	81.8	8240000	свободна
7	2А	1	23	60.1	55.4	6150000	свободна
7	1А	1	24	41.4	36.7	4550000	свободна
7	3Са	1	25	65.3	60.9	6500000	свободна
8	3А	1	26	86.2	81.8	8240000	свободна
8	2А	1	27	60.1	55.4	6150000	свободна
8	1А	1	28	41.4	36.7	4550000	свободна
8	3Са	1	29	65.3	60.9	6500000	свободна
9	3А	1	30	86.2	81.8	8240000	свободна
9	2А	1	31	60.1	55.4	6150000	свободна
9	1А	1	32	41.4	36.7	4550000	свободна
9	3Са	1	33	65.3	60.9	6500000	свободна
10	3А	1	34	86.2	81.8	8240000	свободна
10	2А	1	35	60.1	55.4	6150000	свободна
10	1А	1	36	41.4	36.7	4550000	свободна
10	3Са	1	37	65.3	60.9	6500000	свободна
11	3А	1	38	86.2	81.8	8240000	свободна
11	2А	1	39	60.1	55.4	6150000	свободна
11	1А	1	40	41.4	36.7	4550000	свободна
11	3Са	1	41	65.3	60.9	6500000	свободна
12	3А	1	42	86.2	81.8	8240000	свободна
12	2А	1	43	60.1	55.4	6150000	свободна
12	1А	1	44	41.4	36.7	4550000	свободна
12	3Са	1	45	65.3	60.9	6500000	свободна
13	3А	1	46	86.2	81.8	8240000	свободна
13	2А	1	47	60.1	55.4	6150000	свободна
13	1А	1	48	41.4	36.7	4550000	свободна
13	3Са	1	49	65.3	60.9	6500000	свободна
1	1Б	2	50	49.1	47	5700000	свободна
1	2А	2	51	60.1	55.4	6150000	свободна
1	3А	2	52	86.2	81.8	8240000	свободна
2	2Б	2	53	65.2	60.8	6250000	свободна
2	1А	2	54	41	36.7	4550000	свободна
2	2А	2	55	60.1	55.4	6150000	свободна
2	3А	2	56	86.2	81.8	8240000	свободна
3	2Б	2	57	65.2	60.8	6250000	свободна
3	1А	2	58	41.4	36.7	4550000	свободна
3	2А	2	59	60.1	55.4	6150000	свободна
3	3А	2	60	86.2	81.8	8240000	свободна
4	2Б	2	61	65.2	60.8	6250000	свободна
4	1А	2	62	41.4	36.7	4550000	свободна
4	2А	2	63	60.1	55.4	6150000	свободна
4	3А	2	64	86.2	81.8	8240000	свободна
5	2Б	2	65	65.2	60.8	6250000	свободна
5	1А	2	66	41.4	36.7	4550000	свободна
5	2А	2	67	60.1	55.4	6150000	свободна
5	3А	2	68	86.2	81.8	8240000	свободна
6	2Б	2	69	65.2	60.8	6250000	свободна
6	1А	2	70	41.4	36.7	4550000	свободна
6	2А	2	71	60.1	55.4	6150000	свободна
6	3А	2	72	86.2	81.8	8240000	свободна
7	2Б	2	73	65.2	60.8	6250000	свободна
7	1А	2	74	41.4	36.7	4550000	свободна
7	2А	2	75	60.1	55.4	6150000	свободна
7	3А	2	76	86.2	81.8	8240000	свободна
8	2Б	2	77	65.2	60.8	6250000	свободна
8	1А	2	78	41.4	36.7	4550000	свободна
8	2А	2	79	60.1	55.4	6150000	свободна
8	3А	2	80	86.2	81.8	8240000	свободна
9	2Б	2	81	65.2	60.8	6250000	свободна
9	1А	2	82	41.4	36.7	4550000	свободна
9	2А	2	83	60.1	55.4	6150000	свободна
9	3А	2	84	86.2	81.8	8240000	свободна
10	2Б	2	85	65.2	60.8	6250000	свободна
10	1А	2	86	41.4	36.7	4550000	свободна
10	2А	2	87	60.1	55.4	6150000	свободна
10	3А	2	88	86.2	81.8	8240000	свободна
11	2Б	2	89	65.2	60.8	6250000	свободна
11	1А	2	90	41.4	36.7	4550000	свободна
11	2А	2	91	60.1	55.4	6150000	свободна
11	3А	2	92	86.2	81.8	8240000	свободна
12	2Б	2	93	65.2	60.8	6250000	свободна
12	1А	2	94	41.4	36.7	4550000	свободна
12	2А	2	95	60.1	55.4	6150000	свободна
12	3А	2	96	86.2	81.8	8240000	свободна
13	2Б	2	97	65.2	60.8	6250000	свободна
13	1А	2	98	41.4	36.7	4550000	свободна
13	2А	2	99	60.1	55.4	6150000	свободна
13	3А	2	100	86.2	81.8	8240000	свободна
